location,date,Alpha,Beta,Delta,Gamma,others
Angola,2021-04-05,0.23357664233576642,0.46715328467153283,0.0,0.0072992700729927005,0.20437956204379562
Angola,2021-04-19,0.25301204819277107,0.37349397590361444,0.024096385542168676,0.0,0.3132530120481928
Angola,2021-05-03,0.3235294117647059,0.5,0.029411764705882353,0.0,0.14705882352941177
Angola,2021-05-17,0.0,0.0,0.8,0.0,0.2
Angola,2021-05-31,1.0,0.0,0.0,0.0,0.0
Angola,2021-06-14,0.7727272727272727,0.22727272727272727,0.0,0.0,0.0
Angola,2021-06-28,0.5084745762711864,0.3050847457627119,0.1694915254237288,0.0,0.01694915254237288
Angola,2021-07-12,0.1956521739130435,0.2608695652173913,0.5,0.0,0.043478260869565216
Angola,2021-07-26,0.2,0.1,0.6,0.0,0.1
Angola,2021-08-09,0.0,0.25,0.75,0.0,0.0
Argentina,2021-04-05,0.16326530612244897,0.0,0.0,0.22959183673469388,0.413265306122449
Argentina,2021-04-19,0.12751677852348994,0.0,0.0,0.2953020134228188,0.40268456375838924
Argentina,2021-05-03,0.12759643916913946,0.002967359050445104,0.002967359050445104,0.42136498516320475,0.21068249258160238
Argentina,2021-05-17,0.12130177514792899,0.0,0.0,0.5562130177514792,0.11834319526627218
Argentina,2021-05-31,0.10631229235880399,0.0,0.0,0.6079734219269103,0.03986710963455149
Argentina,2021-06-14,0.085995085995086,0.0,0.002457002457002457,0.6584766584766585,0.02702702702702703
Argentina,2021-06-28,0.09210526315789473,0.0,0.005263157894736842,0.6736842105263158,0.018421052631578946
Argentina,2021-07-12,0.042134831460674156,0.0,0.05337078651685393,0.7359550561797753,0.0028089887640449437
Argentina,2021-07-26,0.041666666666666664,0.0,0.13095238095238096,0.5714285714285714,0.011904761904761904
Argentina,2021-08-09,0.027083333333333334,0.0,0.17916666666666667,0.5895833333333333,0.00625
Aruba,2021-04-05,0.8043478260869565,0.0,0.0,0.0,0.021739130434782608
Aruba,2021-04-19,0.6620689655172414,0.013793103448275862,0.09655172413793103,0.06206896551724138,0.06206896551724138
Aruba,2021-05-03,0.6142857142857143,0.0,0.014285714285714285,0.1,0.05
Aruba,2021-05-17,0.5346534653465347,0.0,0.09900990099009901,0.1188118811881188,0.019801980198019802
Aruba,2021-05-31,0.48598130841121495,0.0,0.0,0.2336448598130841,0.009345794392523364
Aruba,2021-06-14,0.056179775280898875,0.0,0.0449438202247191,0.39325842696629215,0.0
Aruba,2021-06-28,0.125,0.0,0.0,0.7916666666666666,0.0
Aruba,2021-07-12,0.06896551724137931,0.0,0.4482758620689655,0.13793103448275862,0.0
Aruba,2021-07-26,0.010309278350515464,0.0,0.865979381443299,0.020618556701030927,0.0
Aruba,2021-08-09,0.0,0.0,0.9824046920821115,0.0,0.0
Australia,2021-04-05,0.5447154471544715,0.07317073170731707,0.024390243902439025,0.016260162601626018,0.3089430894308943
Australia,2021-04-19,0.46496815286624205,0.12738853503184713,0.21656050955414013,0.012738853503184714,0.044585987261146494
Australia,2021-05-03,0.3088235294117647,0.0392156862745098,0.4117647058823529,0.00980392156862745,0.11764705882352941
Australia,2021-05-17,0.4188034188034188,0.02564102564102564,0.38461538461538464,0.0,0.11965811965811966
Australia,2021-05-31,0.12037037037037036,0.037037037037037035,0.17592592592592593,0.0,0.05555555555555555
Australia,2021-06-14,0.16666666666666666,0.05303030303030303,0.4166666666666667,0.0,0.06818181818181818
Australia,2021-06-28,0.07692307692307693,0.012145748987854251,0.8461538461538461,0.0,0.02834008097165992
Australia,2021-07-12,0.03389830508474576,0.00651890482398957,0.954367666232073,0.0,0.005215123859191656
Australia,2021-07-26,0.003444316877152698,0.0,0.9965556831228473,0.0,0.0
Australia,2021-08-09,0.0010972933430870519,0.0,0.9989027066569129,0.0,0.0
Austria,2021-04-05,0.9278350515463918,0.013745704467353952,0.0,0.0,0.030927835051546393
Austria,2021-04-19,0.8753541076487252,0.0339943342776204,0.0056657223796034,0.0028328611898017,0.0453257790368272
Austria,2021-05-03,0.8814589665653495,0.0060790273556231,0.015197568389057751,0.0,0.06382978723404255
Austria,2021-05-17,0.8804523424878837,0.0016155088852988692,0.004846526655896607,0.009693053311793215,0.05492730210016155
Austria,2021-05-31,0.8277634961439588,0.007712082262210797,0.028277634961439587,0.028277634961439587,0.05398457583547558
Austria,2021-06-14,0.47738693467336685,0.010050251256281407,0.4296482412060301,0.02512562814070352,0.052763819095477386
Austria,2021-06-28,0.38533333333333336,0.0013333333333333333,0.5906666666666667,0.0026666666666666666,0.02
Austria,2021-07-12,0.10891089108910891,0.0,0.8831683168316832,0.0019801980198019802,0.0019801980198019802
Austria,2021-07-26,0.010376134889753566,0.0,0.9896238651102465,0.0,0.0
Austria,2021-08-09,0.004815409309791332,0.0016051364365971107,0.9887640449438202,0.0032102728731942215,0.0
Bahrain,2021-04-05,0.5,0.5,0.0,0.0,0.0
Bahrain,2021-04-19,0.11904761904761904,0.14285714285714285,0.35714285714285715,0.0,0.19047619047619047
Bahrain,2021-05-03,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
Bahrain,2021-05-17,0.45614035087719296,0.0,0.5087719298245614,0.0,0.03508771929824561
Bahrain,2021-05-31,0.10869565217391304,0.0,0.8478260869565217,0.0,0.043478260869565216
Bahrain,2021-06-14,0.16666666666666666,0.041666666666666664,0.75,0.0,0.041666666666666664
