date,daily_confirm
2021-04-05,3086
2021-04-06,4077
2021-04-07,5034
2021-04-08,5958
2021-04-09,6848
2021-04-10,7703
2021-04-11,8525
2021-04-12,9313
2021-04-13,10067
2021-04-14,10788
2021-04-15,11474
2021-04-16,12127
2021-04-17,12745
2021-04-18,13330
2021-04-19,13881
2021-04-20,14398
2021-04-21,14881
2021-04-22,15330
2021-04-23,15745
2021-04-24,16127
2021-04-25,16474
2021-04-26,16788
2021-04-27,17089
2021-04-28,17398
2021-04-29,17716
2021-04-30,18042
2021-05-01,18377
2021-05-02,18720
2021-05-03,19072
2021-05-04,19432
2021-05-05,19800
2021-05-06,20177
2021-05-07,20563
2021-05-08,20956
2021-05-09,21359
2021-05-10,21769
2021-05-11,22171
2021-05-12,22547
2021-05-13,22897
2021-05-14,23220
2021-05-15,23518
2021-05-16,23789
2021-05-17,24035
2021-05-18,24254
2021-05-19,24447
2021-05-20,24615
2021-05-21,24756
2021-05-22,24871
2021-05-23,24960
2021-05-24,25022
2021-05-25,25099
2021-05-26,25230
2021-05-27,25415
2021-05-28,25654
2021-05-29,25947
2021-05-30,26294
2021-05-31,26696
2021-06-01,27151
2021-06-02,27660
2021-06-03,28224
2021-06-04,28841
2021-06-05,29513
2021-06-06,30239
2021-06-07,31019
2021-06-08,31854
2021-06-09,32746
2021-06-10,33695
2021-06-11,34701
2021-06-12,35763
2021-06-13,36883
2021-06-14,38059
2021-06-15,39292
2021-06-16,40582
2021-06-17,41929
2021-06-18,43333
2021-06-19,44794
2021-06-20,46311
2021-06-21,47885
2021-06-22,49517
2021-06-23,51205
2021-06-24,52949
2021-06-25,54751
2021-06-26,56610
2021-06-27,58525
2021-06-28,60498
2021-06-29,62527
2021-06-30,64613
2021-07-01,66756
2021-07-02,68955
2021-07-03,71212
2021-07-04,73525
2021-07-05,75896
2021-07-06,78323
2021-07-07,80807
2021-07-08,83347
2021-07-09,85945
2021-07-10,88600
2021-07-11,91311
